GISID,mapId,mapcoords_,mapcoords1,Colony
6609,64349,166.7963591,-77.6652355,Turks Head Tryggve
6612,64391,166.7191114,-77.66798551,Turks Head Tryggve
6613,64408,166.815671,-77.66798551,Turks Head Tryggve
6615,64436,166.7577353,-77.73927432,Turtle Rock
6624,64512,166.7577353,-77.66798551,Turks Head Tryggve
6644,64852,166.7577353,-77.65973367,Turks Head Tryggve
6659,65039,166.8929186,-77.70916333,South Base
6666,65126,166.6804876,-77.65422942,Turks Head Tryggve
6693,65626,166.7770472,-77.73927432,Turtle Rock
6727,66011,166.8349829,-77.733805,Hutton Cliffs
6756,66504,166.8929186,-77.70642236,South Base
6765,66675,166.8349829,-77.72833328,Hutton Cliffs
6774,66843,166.7191114,-77.6652355,Turks Head Tryggve
6856,68033,166.6997995,-77.66248489,Turks Head Tryggve
6873,68432,166.8349829,-77.73653996,Hutton Cliffs
6884,68620,166.7577353,-77.66248489,Turks Head Tryggve
16774,284538,166.8367321,-77.7273028,Hutton Cliffs
16776,284580,166.6822369,-77.65594546,Turks Head Tryggve
16786,284754,166.856044,-77.73277497,Hutton Cliffs
16798,285032,166.9332917,-77.70264826,South Base
16802,285107,166.7594845,-77.66695004,Turks Head Tryggve
16809,285267,166.7594845,-77.66144896,Turks Head Tryggve
16813,285342,166.7981083,-77.74917708,Turtle Rock
16815,285378,166.7787964,-77.74371211,Turtle Rock
16816,285389,166.9332917,-77.69990586,South Base
16820,285437,166.7787964,-77.66695004,Turks Head Tryggve
16832,285758,166.8367321,-77.73003919,Hutton Cliffs
16834,285792,166.9332917,-77.69716286,South Base
16835,285794,166.8174202,-77.66695004,Turks Head Tryggve
16845,285952,166.7401726,-77.74371211,Turtle Rock
16846,285995,166.7401726,-77.66144896,Turks Head Tryggve
16861,286296,166.7401726,-77.66695004,Turks Head Tryggve
16870,286417,166.7401726,-77.7464449,Turtle Rock
16886,286621,166.7401726,-77.6641998,Turks Head Tryggve
16896,286711,166.8367321,-77.73824474,Hutton Cliffs
16898,286727,166.7015488,-77.66144896,Turks Head Tryggve
16904,286842,166.6822369,-77.65319281,Turks Head Tryggve
16919,287247,166.9139798,-77.70264826,South Base
16929,287396,166.7208607,-77.65594546,Turks Head Tryggve
16930,287401,166.7015488,-77.65869751,Turks Head Tryggve
16937,287546,166.8946679,-77.71087186,South Base
16949,287782,166.8946679,-77.69990586,South Base
16954,287839,166.8753559,-77.72182822,Hutton Cliffs
16966,288004,166.856044,-77.72182822,Hutton Cliffs
16977,288215,166.7787964,-77.74097873,Turtle Rock
16980,288314,166.856044,-77.72456581,Hutton Cliffs
16990,288665,166.7787964,-77.74917708,Turtle Rock
16994,288704,166.8753559,-77.71909003,Hutton Cliffs
